upload_date,merch_channel,merch_others,other,donation,crypto
2007-12-31,0.0010990925363741138,0.003467896295791261,0.005125772018729552,0.0017457058368630892,0.0003364547582893104
2008-12-31,0.000910052776454831,0.0030366104180311582,0.0038622712820827786,0.001445815848510256,0.00028859521787996363
2009-12-31,0.000878616855094973,0.002642514536256345,0.003134483606059925,0.0012764921015173199,0.0002087144815051149
2010-12-31,0.0008574264636798034,0.0023370799298603746,0.002526558878501912,0.0012059673817195928,0.0001871787100412753
2011-12-31,0.0008120415117821869,0.0021659113188461994,0.0020486640729269015,0.0011869489077184206,0.0001740152401271549
2012-12-31,0.0007690802588970394,0.001992774303798047,0.001739318301752239,0.0011964264937798642,0.0002012476820401411
2013-12-31,0.0007406680572994642,0.0018260667807758018,0.0015119141443705705,0.0011797955516863973,0.0001835323510283377
2014-12-31,0.0007107333290033912,0.0016695822980258136,0.0013001167467387442,0.0011540259230899178,0.00014803537998579416
2015-12-31,0.0006578802834535027,0.0015242117863254212,0.00107623756261166,0.0011298413443934004,0.00015066119538923
2016-12-31,0.000665861664621821,0.0014078926957292453,0.0009157151500761661,0.001139144428025118,0.00019856933768282986
2017-12-31,0.0006985459873012078,0.0013270953343037292,0.0008688153977453865,0.0011121061146194258,0.00019927260773662796
2018-12-31,0.0007076115022935652,0.0013105702694140352,0.0009411701820567242,0.0010949130703050902,0.00017179263345131534
