channel_id,alt_category,start_year,views_2017,videos_2017,views_2017_quantile,videos_2017_quantile,views_2018,videos_2018,views_2018_quantile,videos_2018_quantile,views_2019,videos_2019,views_2019_quantile,videos_2019_quantile,monetized_videos,videos,monetized_percentage,avg_no_monetization,median_no_monetization,start_month,monetize_start_abs,monetize_start_rel,videos_with_donation,donation_percentage,videos_with_crypto,crypto_percentage,videos_with_merch_others,merch_others_percentage,videos_with_merch_channel,merch_channel_percentage
UCYkwskRA1ODNA1L2tVMQOUQ,None,2013,711245.0,41.0,2,3,3620056.0,120.0,3,4,2142437.0,91.0,3,4,3.0,288,0.010416666666666666,0.010416666666666666,0.0,87,151.0,64.0,1.0,0.003472222222222222,0.0,0.0,2.0,0.006944444444444444,0.0,0.0
UCowcNKm1w2GGw5U_XQeduhg,Alt-right,2013,976805.0,76.0,2,3,3728675.5,211.0,3,4,1614157.0,126.0,3,4,387.0,447,0.8657718120805369,5.72930648769575,5.0,90,104.0,14.0,385.0,0.8612975391498882,274.0,0.6129753914988815,176.0,0.39373601789709173,0.0,0.0
UCe3WZmg5_cDqoWUH13IJp-g,None,2018,0.0,0.0,0,0,142565.0,59.0,1,3,59613.0,31.0,1,2,24.0,90,0.26666666666666666,0.36666666666666664,0.0,149,154.0,5.0,22.0,0.24444444444444444,0.0,0.0,11.0,0.12222222222222222,0.0,0.0
UC4ie0DZcKFaumz0cWx3k-Qw,None,2018,0.0,0.0,0,0,187048.0,111.0,1,3,115335.0,31.0,1,2,7.0,142,0.04929577464788732,0.07746478873239436,0.0,146,149.0,3.0,0.0,0.0,0.0,0.0,7.0,0.04929577464788732,0.0,0.0
UCp-c7UZowNgx_sGtGCI8M1g,Alt-right,2018,0.0,0.0,0,0,239735.5,97.0,1,3,46958.5,19.0,1,2,0.0,116,0.0,0.0,0.0,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCyZVnp-_owuoPlzNJNtaxZQ,Alt-right,2018,0.0,0.0,0,0,114343.0,111.0,1,3,136287.0,17.0,1,2,0.0,128,0.0,0.0,0.0,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCzgP5SYABblBxgZQlrSZcKQ,None,2015,14686383.0,16.0,4,2,3834244.0,23.0,3,2,735315.0,8.0,2,1,0.0,53,0.0,0.0,0.0,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCpDAdprUWs21wyWwbv_Z4pw,Manosphere,2015,8005808.0,28.0,4,2,3037107.0,35.0,3,2,260497.0,15.0,2,1,78.0,90,0.8666666666666667,2.7444444444444445,2.0,120,130.0,10.0,77.0,0.8555555555555555,0.0,0.0,18.0,0.2,0.0,0.0
UCPJGjOWGmv3KbgcLySnGF4w,None,2015,1258186.0,107.0,3,4,377275.0,143.0,1,4,79275.0,70.0,1,3,0.0,367,0.0,0.0,0.0,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCp_3ZnE5OjPbQCO_LbhObGA,Manosphere,2015,1190995.0,225.0,3,4,346882.0,156.0,1,4,122764.0,66.0,1,3,568.0,568,1.0,2.7359154929577465,2.0,119,119.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0017605633802816902,568.0,1.0
UCBBHBgtmtz5PllUnUkUedEw,None,2015,138910.0,34.0,1,2,237793.0,66.0,1,3,74714.0,17.0,1,2,56.0,151,0.3708609271523179,2.847682119205298,0.0,110,133.0,23.0,1.0,0.006622516556291391,0.0,0.0,55.0,0.36423841059602646,0.0,0.0
UCpbACnMmFIaKjCbwrZROXvg,Manosphere,2015,44331.0,30.0,1,2,154246.0,76.0,1,3,61819.0,22.0,1,2,0.0,129,0.0,0.0,0.0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCWAAISic3hjpOZF_4dfv1wg,None,2016,4043879.0,55.0,3,3,1987389.0,47.0,3,2,662616.0,15.0,2,1,95.0,150,0.6333333333333333,0.64,1.0,122,122.0,0.0,0.0,0.0,0.0,0.0,95.0,0.6333333333333333,0.0,0.0
UCpbyOgUSjTSPpvVUAT2OyHw,Alt-lite,2016,2941539.0,48.0,3,3,1696852.0,35.0,3,2,537363.0,6.0,2,1,116.0,119,0.9747899159663865,8.352941176470589,8.0,122,122.0,0.0,115.0,0.9663865546218487,114.0,0.957983193277311,8.0,0.06722689075630252,0.0,0.0
