percentile,total,has_monetization,ratio
0,13974,4224,0.30227565478746243
1,13841,6025,0.4353009175637598
2,13293,6977,0.5248627096968329
3,13507,7943,0.588065447545717
4,13707,8754,0.6386517837601225
5,13677,9325,0.6818015646706149
6,13508,9590,0.7099496594610601
7,13594,9983,0.7343681035751066
8,13638,10305,0.7556093268807743
9,13630,9929,0.7284666177549524
