channel_id,money,channel_category,channel_not_avalible_dec_2020
UCIgbxKzg2BpGN_AQ6uarXDw,83.49759139784948,Alt-lite,False
UCB6Axmo3AK495fsvuDcLkjg,46.06206880981755,Manosphere,False
UCueXoXyOKbhDfnub_28eC7A,36.08169696969696,Manosphere,False
UCbukZErY9SjdGTHabMzY7qg,13.113593701996924,Alt-lite,True
UCyc9mFN1Gf24xfO0cl8gJug,7.219738068753642,Manosphere,False
UCs-brcHDxKqrOGU9cEWuCMQ,0.0,Manosphere,False
UCkeGEMunZIoGUyP7z0pMYmQ,0.0,Alt-lite,False
UCton5c-eyajfNR_pRcKk86g,0.0,Manosphere,False
UCu76O9Ye9k633b2VaLg9cPA,0.0,Alt-lite,False
UCd4xRbTbKS3CI8I17YjTBNQ,0.0,Manosphere,False
UCbBm6SZ235HFxwVKC7Po5IA,0.0,Alt-lite,False
UCauYZm2lm1MufqCN9zIrXyA,0.0,Manosphere,False
UCSuIAAH09DiO10JXWdsCQEw,0.0,Manosphere,False
UCFSx08Ew0iiWKyAz54Opdhw,0.0,Alt-lite,False
UCCsiAKRKcgzA_372WbXNBaw,0.0,Alt-lite,False
UCC3L8QaxqEGUiBC252GHy3w,0.0,Alt-lite,True
UC4l_02h-34rlgyUhBaUgcfQ,0.0,Manosphere,False
UC3n-Hywbms82-FPejNPpnEA,0.0,Manosphere,False
UC0it1cu-mt_IcvLTQ4CWcHw,0.0,Manosphere,False
