upload_date,yearm,merch_channel,merch_others,other,donation,crypto,year
2007-12-31,2008,0.010884201077199281,0.12208258527827648,0.6258976660682226,0.027939856373429085,0.0010098743267504488,2008.0
2008-12-31,2008,0.01231962973046556,0.1615845358017969,0.6756057718486251,0.031717941736999725,0.0012251565477811054,2008.4565069425537
2009-12-31,2008,0.01638323353293413,0.1771497005988024,0.7119041916167664,0.03525748502994012,0.0009101796407185628,2008.9555928143714
2010-12-31,2008,0.023952390320676767,0.22368679913436948,0.782215227228015,0.04706866024001574,0.0011804052724768838,2008.913338579579
2010-12-31,2011,0.017498597868760516,0.1445877734155917,0.6817722938867078,0.038698822209758836,0.0006730229949523276,2011.0
2011-12-31,2008,0.028357045410251414,0.26510426817384525,0.8240596374975638,0.06183005262132138,0.0013155330344961995,2008.9106412005458
2011-12-31,2011,0.023496083986002333,0.20457701494195413,0.7664833638837971,0.05276898294728656,0.0009998333611064823,2011.553241126479
2012-12-31,2008,0.030215550423402616,0.29176289453425713,0.8437259430331023,0.07943610469591994,0.0021651270207852192,2008.9152713625865
2012-12-31,2011,0.02922380986572844,0.23903209592877145,0.8035470668485676,0.07219788899260429,0.0018309758023982194,2012.0915846916062
2013-12-31,2008,0.033680135494797966,0.3076215823856763,0.8547302201790467,0.09683038954754415,0.0021775949673360755,2008.9133317203
2013-12-31,2011,0.04110098567974707,0.29410451924865166,0.8576157708759531,0.09871675655570021,0.00230611865352427,2012.058880416589
2013-12-31,2014,0.020046137936520565,0.1922679182244849,0.7566621589372365,0.07055922360989579,0.001193222496221462,2014.0
2014-12-31,2008,0.037737660841175344,0.323794891492222,0.8651334741693874,0.11537353562512002,0.0020165162281544076,2008.9165066256962
2014-12-31,2011,0.0507991076326665,0.33054163771349154,0.8768971948944886,0.12942983578978165,0.00182862158504919,2012.060051932853
2014-12-31,2014,0.029493497350772536,0.24728593130534662,0.8128867316314053,0.09403831190485012,0.0011856682352069361,2014.5654155396644
2015-12-31,2008,0.039163498098859315,0.3423479087452472,0.8791825095057034,0.13783269961977188,0.0024239543726235742,2008.9195342205323
2015-12-31,2011,0.05521737564384253,0.3664949753268739,0.8969131577999496,0.16093361668407594,0.002197168893851529,2012.0606922882973
2015-12-31,2014,0.03699668816454593,0.2956902562314799,0.8589637441171344,0.12972808087850793,0.0020045319853582012,2015.1645459299286
2016-12-31,2008,0.04506114769520226,0.3515051740357479,0.8846660395108185,0.16500470366886172,0.0038099717779868296,2008.9216368767638
2016-12-31,2011,0.06457124550599794,0.3858968426298366,0.9074146584558431,0.2020076175559748,0.0041291424910119955,2012.0636101519951
2016-12-31,2014,0.06101783497746129,0.37364168898760913,0.9103242525206333,0.20130223644955467,0.004899719082772588,2015.149778968228
2016-12-31,2017,0.030338930668589677,0.23714844957247347,0.8356340785000516,0.12552796950654166,0.005099412794890286,2017.0
2017-12-31,2008,0.05461722048834221,0.34418028272443546,0.8772718927850193,0.1735358913163209,0.0045437855700385535,2008.91926748669
2017-12-31,2011,0.07453242440132844,0.3825904562139486,0.8991085474567383,0.2096486628211851,0.004264988638349939,2012.060094389093
2017-12-31,2014,0.08008452647921338,0.3850483008452648,0.9111178195618423,0.22334828359496292,0.005304467828186993,2015.1482232189064
2017-12-31,2017,0.05181781489645751,0.26992455524853304,0.8628954640007451,0.17249837002080165,0.00611630289670589,2017.4049489273184
2018-12-31,2008,0.052283509848085497,0.3118800019169023,0.8494752479992332,0.15704221977284707,0.003258733886040159,2008.9193463363206
2018-12-31,2011,0.0734598025905405,0.34763145341797236,0.8738120573881775,0.19513448060763952,0.0028253770227130957,2012.0580119619858
2018-12-31,2014,0.07991933291035982,0.3566799601196411,0.8839844104051482,0.20817094172029366,0.004010695187165776,2015.149709961026
2018-12-31,2017,0.05930212570904716,0.2651120151263393,0.863891594568269,0.17418208903913368,0.004497794075517103,2017.5880650890965
