upload_date,yearm,merch_channel,merch_others,other,donation,crypto,year
2007-12-31,2008,0.0010990925363741138,0.003467896295791261,0.005125772018729552,0.0017457058368630892,0.0003364547582893104,2008.0
2008-12-31,2008,0.000910052776454831,0.0030366104180311582,0.0038622712820827786,0.001445815848510256,0.00028859521787996363,2008.4565069425537
2009-12-31,2008,0.000878616855094973,0.002642514536256345,0.003134483606059925,0.0012764921015173199,0.0002087144815051149,2008.9555928143714
2010-12-31,2008,0.001072308826178224,0.0029224602485840405,0.002894588538196981,0.0014852743222305699,0.00024080696641756607,2008.913338579579
2010-12-31,2011,0.0013886971400022237,0.003724713198643561,0.004933191726879457,0.002042762784724046,0.0002746680115070103,2011.0
2011-12-31,2008,0.0011586515296133028,0.003080989508910652,0.00265785362590803,0.0016811619947553896,0.000253007866049949,2008.9106412005458
2011-12-31,2011,0.0011289177378147228,0.003006457342511435,0.0031531006841714307,0.0016662680863065956,0.00023554514191255062,2011.553241126479
2012-12-31,2008,0.0011873760811323831,0.0031531149284910846,0.0025187181869234165,0.0018757345233920866,0.00032240848444100244,2008.9152713625865
2012-12-31,2011,0.0010092161441577529,0.0025554506236431756,0.002380625784777991,0.0015507655412170572,0.0002561530674874752,2012.0915846916062
2013-12-31,2008,0.0012549593652243826,0.00321042447056619,0.0024512322621068317,0.0020571823653195427,0.000324263057168249,2008.9133317203
2013-12-31,2011,0.0012107585213342333,0.0027788559171940033,0.002131190654745286,0.0018191607068024512,0.00029253946197962705,2012.058880416589
2013-12-31,2014,0.0012500669074560534,0.0035148125235209596,0.003827109776876893,0.002284035472450744,0.00030790485968366,2014.0
2014-12-31,2008,0.0013204149973003296,0.0032422793888681567,0.002366845223241951,0.002213651653772998,0.0003108413261752414,2008.9165066256962
2014-12-31,2011,0.001327957051268856,0.0028448003414295884,0.001986942200302388,0.0020299998621526615,0.0002583695900217657,2012.060051932853
2014-12-31,2014,0.001029838124586216,0.0026261608608690507,0.002373962821195173,0.0017766993020084095,0.0002094742183351747,2014.5654155396644
2015-12-31,2008,0.0013373424095269653,0.0032712148918962853,0.0022468886862273443,0.00237656138924471,0.00033900988255045495,2008.9195342205323
2015-12-31,2011,0.0013707890705335199,0.002891850568646219,0.0018249191109150176,0.0022054049752573608,0.00028100942761422835,2012.0606922882973
2015-12-31,2014,0.0008810648925574022,0.00213016348952283,0.0016246708306167986,0.0015684008301947686,0.00020877734065093294,2015.1645459299286
2016-12-31,2008,0.0014226801628928001,0.0032744434057116038,0.002190718878037506,0.0025457077615740438,0.0004225229899080475,2008.9216368767638
2016-12-31,2011,0.0014663102823595769,0.0029044052837475516,0.0017293183594204666,0.0023954338735036025,0.0003825889189445885,2012.0636101519951
2016-12-31,2014,0.0011169954402069809,0.00225752941105786,0.0013333061760375097,0.001871155436114182,0.0003258467146332849,2015.149778968228
2016-12-31,2017,0.001230984549239123,0.0030526193218799315,0.0026598457287952,0.0023778568226076606,0.0005112018485588651,2017.0
2017-12-31,2008,0.001539430042460574,0.0032186706883444113,0.002222953828744452,0.002565653310797597,0.0004556289511035473,2008.91926748669
2017-12-31,2011,0.001552859816598024,0.0028736426404650257,0.0017807882213458535,0.002406773209120965,0.0003853096199719824,2012.060094389093
2017-12-31,2014,0.00126038035194645,0.0022595994734733284,0.0013214416062480403,0.001934006009244299,0.00033730233669075486,2015.1482232189064
2017-12-31,2017,0.0012350849298475798,0.002473525815767028,0.0019165333635868752,0.002105175495304429,0.0004344338480639849,2017.4049489273184
2018-12-31,2008,0.0015409607536789232,0.0032069770042494825,0.002475422400433529,0.0025187271081535184,0.0003945351120512673,2008.9193463363206
2018-12-31,2011,0.0015803375274572858,0.002884688218626662,0.002011457163821332,0.0024006094509704686,0.00032152641278295336,2012.0580119619858
2018-12-31,2014,0.0012908092620943492,0.0022802165319209646,0.0015244166163661168,0.0019326311106076751,0.00030085716660528,2015.149709961026
2018-12-31,2017,0.0012641836514873505,0.0023625186016588934,0.001835363349884047,0.0020299897930900444,0.00035815486535790324,2017.5880650890965
