upload_date,merch_channel,merch_others,other,donation,crypto
2007-12-31,0.010884201077199281,0.12208258527827648,0.6258976660682226,0.027939856373429085,0.0010098743267504488
2008-12-31,0.01231962973046556,0.1615845358017969,0.6756057718486251,0.031717941736999725,0.0012251565477811054
2009-12-31,0.01638323353293413,0.1771497005988024,0.7119041916167664,0.03525748502994012,0.0009101796407185628
2010-12-31,0.021985160871200466,0.19957602489144186,0.7515984545423462,0.04451738639860499,0.0010257462303826033
2011-12-31,0.0260856023048771,0.23682093077581956,0.797155241778493,0.05759597165624108,0.0011680120435019596
2012-12-31,0.029647600641473745,0.2615650314568856,0.8207163123483696,0.07529092479131544,0.0019737653686418026
2013-12-31,0.034147801932768916,0.27745712812494805,0.8355150446599358,0.09218076878295438,0.0020292410305883138
2014-12-31,0.0395290047897818,0.29877594465141033,0.8506519425226184,0.11282597126130921,0.0016498137307078232
2015-12-31,0.04281988194173117,0.32681443309855435,0.8745815689711612,0.14067730387860483,0.002154193814084626
2016-12-31,0.053737095424107144,0.3494349888392857,0.8922119140625,0.18191964285714285,0.004542759486607143
2017-12-31,0.06749213044085038,0.3488501915055281,0.8906945370528307,0.19919676223852129,0.005148164803299787
2018-12-31,0.06834017521508674,0.3222526305855707,0.8706255210053634,0.18765630160902186,0.0037669670803252646
